model,accuracy,precision,recall,f1
RuBERT_FineTuned_Fast,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788
ClinicalBERT_FineTuned_Optimized,0.8181818181818182,0.8347107438016528,0.8181818181818182,0.8233201581027668
BiomedBERT_FineTuned_Enhanced,0.0,0.0,0.0,0.0
