model,accuracy,precision,recall,f1
ClinicalBERT_FineTuned_Optimized,0.8787878787878788,0.916083916083916,0.8787878787878788,0.884297520661157
BiomedBERT_FineTuned_Enhanced,0.8181818181818182,0.8347107438016528,0.8181818181818182,0.8233201581027668
